127.0.0.1 - - [12/Dec/2023:16:53:07 -0500] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:53:08 -0500] "GET /cs336Sample/ HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:05:21 -0500] "GET /cs336Sample/ HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:05:25 -0500] "GET /cs336Sample/Customer/CustomerLoginPage.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:05:27 -0500] "GET /cs336Sample/Customer/NewCustomerAcc.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:05:42 -0500] "POST /cs336Sample/Customer/CreateCustomerAcc.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:08:17 -0500] "GET /cs336Sample/ HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:08:20 -0500] "GET /cs336Sample/Customer/CustomerLoginPage.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:08:23 -0500] "GET /cs336Sample/Customer/NewCustomerAcc.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:08:26 -0500] "POST /cs336Sample/Customer/CreateCustomerAcc.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:11:50 -0500] "GET /cs336Sample/ HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:11:51 -0500] "GET /cs336Sample/Customer/CustomerLoginPage.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:11:52 -0500] "GET /cs336Sample/Customer/NewCustomerAcc.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:11:55 -0500] "POST /cs336Sample/Customer/CreateCustomerAcc.jsp HTTP/1.1" 200 371
